Year,Tbill
1965,0.0395
1966,0.0486
1967,0.0431
1968,0.0534
1969,0.0667
1970,0.0639
1971,0.0433
1972,0.0407
1973,0.0703
1974,0.0783
1975,0.0578
1976,0.0497
1977,0.0527
1978,0.0719
1979,0.1007
1980,0.1143
1981,0.1403
1982,0.1061
1983,0.0861
1984,0.0952
1985,0.0748
1986,0.0598
1987,0.0578
1988,0.0667
1989,0.0811
1990,0.0749
1991,0.0538
1992,0.0343
1993,0.03
1994,0.0425
1995,0.0549
1996,0.0501
1997,0.0506
1998,0.0478
1999,0.0464
2000,0.0582
2001,0.0339
2002,0.016
2003,0.0101
2004,0.0137
2005,0.0315
2006,0.0473
2007,0.0435
2008,0.0137
2009,0.0015
2010,0.0014
2011,0.0005
2012,0.0009
2013,0.0006
2014,0.0003
2015,0.0005
2016,0.0032
