Date,XLY,XLV,XLU,XLB,XLE,XLF,XLI,XLK,XLP,INDEX
12/25/1998,26.0469,25.75,30.25,21.5313,23.625,19.3362,24,32.6875,27.0938,230.3207
1/1/1999,26.125,26,30.2344,21.9219,23.3438,19.0317,24.5625,32.625,27.1563,231.0006
1/8/1999,27.1563,26.9844,30.4844,23.1719,23.9688,20.2497,25.2188,34.875,27.0469,239.1562
1/15/1999,26.1719,26.8281,29.5313,22.0781,22.7188,19.1839,24.3594,34.7813,26.125,231.7778
1/22/1999,26.4688,26.6719,30.5,21.0781,22.5938,18.7525,23.5313,34.75,25.3906,229.737
1/29/1999,27.4688,27.25,29.4844,21.1094,21.8125,19.3615,24.2969,37.8125,26.7969,235.3929
2/5/1999,26.7813,27,28.7656,22.2344,22.875,18.3719,24.3281,35.3125,26.2813,231.9501
2/12/1999,26.75,26.875,28.3438,21.4219,22.1563,18.6764,24.3594,34.7813,26.1719,229.536
2/19/1999,27.1719,27.2656,28.8594,21.3281,21.7188,19.2854,24.6406,34.3438,26.3906,231.0042
2/26/1999,27.2969,27.2813,28.6719,21.4375,21.625,19.666,24.5156,34.0625,26.5156,231.0723
3/5/1999,28.6563,28.1563,28.7656,21.625,22.8594,20.5542,25.1719,34.6875,27.0781,237.5543
3/12/1999,29.2188,28.25,28.7969,22.0156,24.5,21.0998,25.5,34.9375,27.4375,241.7561
3/19/1999,29.0625,28.3906,28.2031,22.3281,24.7813,20.7064,25.3438,35.5,27.625,241.9408
3/26/1999,28.3125,27.9063,27.3281,21.75,24.75,20.2751,24.8281,35.7813,26.9219,237.8533
4/2/1999,28.5625,28,27.25,22,24.5625,20.3004,25.2031,37.1719,26.4844,239.5348
4/9/1999,30.2813,29.5938,28.2188,22.3125,25.375,21.4423,25.8125,39,26.9688,249.005
4/16/1999,29.7188,28.7188,28.3438,25.5938,27.1406,21.214,28.0781,36.1875,26.1406,251.136
4/23/1999,30.3438,30.3906,29.3438,25.625,26.75,21.9752,28.4531,38,26.6094,257.4909
4/30/1999,29.3438,29,29.2656,27.125,28.2344,21.6707,28.6875,36.8125,25.5156,255.6551
5/7/1999,29.4688,29.2813,29.4219,28.2031,28.6406,21.417,30,37,26.0156,259.4483
5/14/1999,29.4688,29.25,29.3594,27.1094,27.8125,21.417,29.125,37.5,25.75,256.7921
5/21/1999,28.7813,29.1563,29.5781,26.3594,28.1875,20.8841,28.8594,37.5625,25.9219,255.2905
5/28/1999,28.0156,28.1094,29.6094,24.6563,27.625,20.3639,28.125,36.9375,25.25,248.6921
6/4/1999,29,29,29.75,26.25,28.3125,20.3004,29.1094,37.3281,26.0625,255.1129
6/11/1999,27.8125,27.9688,29.7813,25.9531,28.625,19.9198,28.7656,36.625,24.625,250.0761
6/18/1999,28.4375,29,30.5938,27,28.875,20.8079,30.0313,39.0625,25.0469,258.8549
6/25/1999,28.1875,28.375,29.6719,25.6875,27.4375,20.2243,29.0938,38.7344,24.5469,251.9588
7/2/1999,30.0938,29.4375,30.5469,26.7813,28.3594,21.417,29.9688,41.4688,25.875,263.9485
7/9/1999,29.8125,29.625,30.4844,26.7344,28.9844,21.4677,29.9219,42.7344,25.6719,265.4366
7/16/1999,30.0313,29.8438,31.2344,26.2344,29.125,21.417,29.9531,43.8438,25.875,267.5578
7/23/1999,28.3125,28.8125,31.0156,26,28.2813,20.5542,29.6563,40.6875,25.0781,258.398
