w/o PCA
0.100000 22628.839915 0.024638
0.200000 22410.682959 0.024207
0.300000 22618.079975 0.024642
0.400000 20423.789689 0.023585
0.500000 20244.222104 0.026085
0.600000 22890.131886 0.024770
0.700000 22627.186611 0.024640
0.800000 17754.495359 0.028569
0.900000 20028.467580 0.030010

w PCA
0.100000 19141.991214 0.018989
0.200000 19154.345020 0.019007
0.300000 19154.344206 0.019007
0.400000 19154.847950 0.019005
0.500000 19160.577233 0.019003
0.600000 20437.476624 0.020365
0.700000 19568.565887 0.020726
0.800000 19467.852255 0.018925
0.900000 21411.958392 0.026592
